08:21:48.815 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
08:21:48.979 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=C\:\\Users\\harishkannan.sukumar\\IdeaProjects\\ContinousIntegration, idea.version=2024.1.4, user.dir=C\:\\Users\\harishkannan.sukumar\\IdeaProjects\\ContinousIntegration, localrepository=C\:\\Users\\harishkannan.sukumar\\.m2\\repository}
08:21:48.980 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : C:\Users\harishkannan.sukumar\IdeaProjects\ContinousIntegration\browserstack.yml
08:21:49.028 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
08:21:49.033 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
08:21:49.313 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
08:21:52.468 [main] INFO  c.browserstack.BrowserStackJavaAgent - Project and debug logs are captured by default. To disable, set disableAutoCaptureLogs: true in config.
08:21:55.357 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
08:22:01.009 [main] INFO  com.browserstack.LocalFactory - BrowserStack Local Started Successfully.
08:22:06.985 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/lgm5xcsyephiodgmxbiz4rd6d2rekv8zthbq27vb to view build report, insights, and many more debugging information all at one place!

08:22:06.985 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
09:02:06.099 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.26.0
09:02:06.103 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
09:02:06.276 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {}
09:02:06.277 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : C:\Users\harishkannan.sukumar\IdeaProjects\ContinousIntegration\browserstack.yml
09:02:06.326 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
09:02:06.332 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
09:02:06.837 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
09:02:10.181 [main] INFO  c.browserstack.BrowserStackJavaAgent - Project and debug logs are captured by default. To disable, set disableAutoCaptureLogs: true in config.
09:02:13.756 [main] INFO  c.browserstack.BrowserStackJavaAgent - Starting BrowserStack Local......
09:02:19.713 [main] INFO  com.browserstack.LocalFactory - BrowserStack Local Started Successfully.
